dataset,algorithm,k,docker_root,materialized_path,bytes_total,files_total,partitions_total,max_partition_bytes,avg_partition_bytes,rows_written,rows_skipped,materialization_time_sec,log_file
cordis_horizon_inputs,scotch,8,docker_cordis_all_k2468,results/docker_cordis_all_k2468/algorithm_outputs/scotch_cordis_horizon_inputs_k8/materialized_property_graph,1371848408,80,8,171481051,171481051.00,3168816,0,68.048,results/logs/materialize_cordis_horizon_inputs_scotch_k8_2026-03-30_010110.log
fib25_neo4j_inputs,kahip_fast,2,docker_fib25_materialized,results/docker_fib25_materialized/algorithm_outputs/kahip_fast_fib25_neo4j_inputs_k2/materialized_property_graph,110505645,20,2,61400136,55252822.50,2427904,0,16.164,results/logs/materialize_fib25_neo4j_inputs_kahip_fast_k2_2026-03-25_234842.log
fib25_neo4j_inputs,kahip_fast,4,docker_fib25_materialized,results/docker_fib25_materialized/algorithm_outputs/kahip_fast_fib25_neo4j_inputs_k4/materialized_property_graph,110511815,40,4,32980068,27627953.75,2427906,0,16.552,results/logs/materialize_fib25_neo4j_inputs_kahip_fast_k4_2026-03-25_234842.log
fib25_neo4j_inputs,kahip_fast,6,docker_fib25_materialized,results/docker_fib25_materialized/algorithm_outputs/kahip_fast_fib25_neo4j_inputs_k6/materialized_property_graph,110517985,60,6,22924163,18419664.17,2427908,0,16.344,results/logs/materialize_fib25_neo4j_inputs_kahip_fast_k6_2026-03-25_234842.log
fib25_neo4j_inputs,kahip_fast,8,docker_fib25_materialized,results/docker_fib25_materialized/algorithm_outputs/kahip_fast_fib25_neo4j_inputs_k8/materialized_property_graph,110524155,80,8,17095591,13815519.38,2427910,0,16.658,results/logs/materialize_fib25_neo4j_inputs_kahip_fast_k8_2026-03-25_234901.log
fib25_neo4j_inputs,metis,2,docker_fib25_materialized,results/docker_fib25_materialized/algorithm_outputs/metis_fib25_neo4j_inputs_k2/materialized_property_graph,110505645,20,2,56173359,55252822.50,2427904,0,16.432,results/logs/materialize_fib25_neo4j_inputs_metis_k2_2026-03-25_234901.log
fib25_neo4j_inputs,metis,4,docker_fib25_materialized,results/docker_fib25_materialized/algorithm_outputs/metis_fib25_neo4j_inputs_k4/materialized_property_graph,110511815,40,4,28957158,27627953.75,2427906,0,16.651,results/logs/materialize_fib25_neo4j_inputs_metis_k4_2026-03-25_234901.log
fib25_neo4j_inputs,metis,6,docker_fib25_materialized,results/docker_fib25_materialized/algorithm_outputs/metis_fib25_neo4j_inputs_k6/materialized_property_graph,110517985,60,6,19170255,18419664.17,2427908,0,16.558,results/logs/materialize_fib25_neo4j_inputs_metis_k6_2026-03-25_234919.log
fib25_neo4j_inputs,metis,8,docker_fib25_materialized,results/docker_fib25_materialized/algorithm_outputs/metis_fib25_neo4j_inputs_k8/materialized_property_graph,110524155,80,8,14351327,13815519.38,2427910,0,16.816,results/logs/materialize_fib25_neo4j_inputs_metis_k8_2026-03-25_234919.log
fib25_neo4j_inputs,parmetis,2,docker_fib25_materialized,results/docker_fib25_materialized/algorithm_outputs/parmetis_fib25_neo4j_inputs_k2/materialized_property_graph,110505645,20,2,57932364,55252822.50,2427904,0,16.527,results/logs/materialize_fib25_neo4j_inputs_parmetis_k2_2026-03-25_234919.log
