deliverable_id:ID(Deliverable),title,deliverableType
101044777_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044828_2_DELIVHORIZON,Data Management Plan,Data Management Plan
101044892_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044930_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044937_1_DELIVHORIZON,Data management plan,Data Management Plan
101044975_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101044989_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101045003_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101045004_1_DELIVHORIZON,Data management plan,Data Management Plan
101045015_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101045057_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101045128_1_DELIVHORIZON,Research Data Management,"Documents, reports"
101045180_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101045223_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101045225_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101045227_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101045239_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101045273_1_DELIVHORIZON,Data management plan,Data Management Plan
101045302_1_DELIVHORIZON,Datamanagement Plan,"Documents, reports"
101045309_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101045437_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101045453_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101045454_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101045494_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101045517_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101045605_1_DELIVHORIZON,Data Management Plan,"Documents, reports"
101045653_1_DELIVHORIZON,Data Management Plan,Data Management Plan
101045956_1_DELIVHORIZON,Governance Report,"Documents, reports"
101045956_37_DELIVHORIZON,Overview of policy landscape,"Documents, reports"
101045956_38_DELIVHORIZON,Analysis of barriers for uptake,"Documents, reports"
101045956_42_DELIVHORIZON,COVend website,"Websites, patent fillings, videos etc."
101045956_43_DELIVHORIZON,Training material,"Documents, reports"
101045956_44_DELIVHORIZON,Plan for dissemination including communication activities,"Documents, reports"
101045956_46_DELIVHORIZON,Interim impact report,"Documents, reports"
101045956_60_DELIVHORIZON,"Progress report on the collaborative actions between the projects working on COVID-19 therapeutics funded under the Horizon Europe call """"HORIZON-HLTH-2021-CORONA-01","Documents, reports"
101045956_61_DELIVHORIZON,Report on collaborations and impact assessment,"Documents, reports"
101045956_6_DELIVHORIZON,"Report on virtual meeting with the other successful projects working on COVID-19 therapeutics funded under the Horizon Europe call """"HORIZON-HLTH-2021-CORONA-01","Documents, reports"
101045989_1_DELIVHORIZON,Project Handbook,"Documents, reports"
101045989_2_DELIVHORIZON,Risk Management Plan,"Documents, reports"
101045989_40_DELIVHORIZON,Communication Plan,"Documents, reports"
101045989_43_DELIVHORIZON,Project Logo and Communication Material,"Websites, patent fillings, videos etc."
101045989_44_DELIVHORIZON,"First periodic report on the joint meeting of the leadership of the consortia from the projects VERDI, EuCARE, CoVICIS, Orchestra, and ReCODID to update and align each other's activity","Documents, reports"
101045989_65_DELIVHORIZON,CCB website,"Websites, patent fillings, videos etc."
101045989_84_DELIVHORIZON,Workshop with stakeholders of digital survey platform,Other
